,experiment_num,summarization_rate
40,001,0.4272111563314882
71,002,0.5818936731012196
157,003,0.6239734084780414
12,004,0.417632273303126
72,005,0.4218815258481558
105,006,0.4215972824962556
6,007,0.48939501468459584
25,008,0.4272111563314882
145,009,0.5818936731012196
138,010,0.6239734084780414
57,011,0.417632273303126
5,012,0.4218815258481558
48,013,0.4215972824962556
56,014,0.48939501468459584
19,015,0.4272111563314882
8,016,0.5818936731012196
11,017,0.6239734084780414
63,018,0.417632273303126
10,019,0.4218815258481558
166,020,0.4215972824962556
115,021,0.48939501468459584
3,022,0.4272111563314882
141,023,0.5818936731012196
33,024,0.6239734084780414
31,025,0.417632273303126
74,026,0.4218815258481558
123,027,0.4215972824962556
95,028,0.48939501468459584
66,029,0.22747055132967328
116,030,0.5864883319332126
119,031,0.5774268961463809
39,032,0.1847860600367237
64,033,0.20125686828856632
7,034,0.20597745354699928
107,035,0.392941003861028
45,036,0.22747055132967328
1,037,0.5864883319332126
98,038,0.5774268961463809
103,039,0.1847860600367237
97,040,0.20125686828856632
131,041,0.20597745354699928
153,042,0.392941003861028
83,043,0.22747055132967328
165,044,0.5864883319332126
143,045,0.5774268961463809
77,046,0.1847860600367237
160,047,0.20125686828856632
100,048,0.20597745354699928
88,049,0.392941003861028
44,050,0.22747055132967328
51,051,0.5864883319332126
13,052,0.5774268961463809
91,053,0.1847860600367237
67,054,0.20125686828856632
147,055,0.20597745354699928
55,056,0.392941003861028
125,057,0.2382274754898921
61,058,0.6158900832775709
151,059,0.5551396518795503
163,060,0.1928852342471346
96,061,0.22604818411849853
120,062,0.20429882785177944
99,063,0.44929107774028926
2,064,0.2382274754898921
104,065,0.6158900832775709
59,066,0.5551396518795503
27,067,0.1928852342471346
113,068,0.22604818411849853
36,069,0.20429882785177944
139,070,0.44929107774028926
79,071,0.2382274754898921
37,072,0.6158900832775709
155,073,0.5551396518795503
73,074,0.1928852342471346
78,075,0.22604818411849853
85,076,0.20429882785177944
118,077,0.44929107774028926
89,078,0.2382274754898921
130,079,0.6158900832775709
84,080,0.5551396518795503
161,081,0.1928852342471346
38,082,0.22604818411849853
60,083,0.20429882785177944
92,084,0.44929107774028926
106,085,0.8195996044147049
150,086,0.8186512969154346
102,087,0.8170046735205347
18,088,0.8166819286060644
30,089,0.8166819286060644
29,090,0.8166819286060644
154,091,0.8166819286060644
149,092,0.8195996044147049
159,093,0.8186512969154346
134,094,0.8170046735205347
108,095,0.8166819286060644
26,096,0.8166819286060644
20,097,0.8166819286060644
90,098,0.8166819286060644
15,099,0.8195996044147049
158,100,0.8186512969154346
49,101,0.8170046735205347
122,102,0.8166819286060644
101,103,0.8166819286060644
129,104,0.8166819286060644
93,105,0.8166819286060644
9,106,0.8195996044147049
109,107,0.8186512969154346
135,108,0.8170046735205347
62,109,0.8166819286060644
81,110,0.8166819286060644
43,111,0.8166819286060644
136,112,0.8166819286060644
46,113,0.6988253379623536
164,114,0.7048296986823732
121,115,0.7264295450414198
17,116,0.6988253379623536
70,117,0.6988253379623536
24,118,0.6988253379623536
21,119,0.6992587308639119
0,120,0.6988253379623536
126,121,0.7048296986823732
58,122,0.7264295450414198
94,123,0.6988253379623536
148,124,0.6988253379623536
114,125,0.6988253379623536
50,126,0.6992587308639119
162,127,0.6988253379623536
167,128,0.7048296986823732
32,129,0.7264295450414198
52,130,0.6988253379623536
76,131,0.6988253379623536
87,132,0.6988253379623536
111,133,0.6992587308639119
75,134,0.6988253379623536
68,135,0.7048296986823732
4,136,0.7264295450414198
47,137,0.6988253379623536
140,138,0.6988253379623536
144,139,0.6988253379623536
146,140,0.6992587308639119
69,141,0.591156328243654
133,142,0.6828454031759842
110,143,0.7220217180010913
16,144,0.5882566102525755
82,145,0.5885148474613099
42,146,0.5889212679293904
128,147,0.6224359754032234
137,148,0.591156328243654
112,149,0.6828454031759842
41,150,0.7220217180010913
124,151,0.5882566102525755
54,152,0.5885148474613099
132,153,0.5889212679293904
14,154,0.6224359754032234
22,155,0.591156328243654
35,156,0.6828454031759842
80,157,0.7220217180010913
152,158,0.5882566102525755
117,159,0.5885148474613099
127,160,0.5889212679293904
142,161,0.6224359754032234
28,162,0.591156328243654
86,163,0.6828454031759842
65,164,0.7220217180010913
156,165,0.5882566102525755
53,166,0.5885148474613099
23,167,0.5889212679293904
34,168,0.6224359754032234
